,DATE,PLACEBO,VACCINE
2020-09-21,2020-09-21,0.0,2.0
2020-09-22,2020-09-22,1.0,3.0
2020-09-23,2020-09-23,,4.0
2020-09-24,2020-09-24,,5.0
2020-09-25,2020-09-25,,
2020-09-26,2020-09-26,,
2020-09-27,2020-09-27,,
2020-09-28,2020-09-28,3.0,
2020-09-29,2020-09-29,,
2020-09-30,2020-09-30,6.0,
2020-10-01,2020-10-01,8.0,
2020-10-02,2020-10-02,9.0,6.0
2020-10-03,2020-10-03,,
2020-10-04,2020-10-04,,
2020-10-05,2020-10-05,12.0,
2020-10-06,2020-10-06,14.0,
2020-10-07,2020-10-07,17.0,8.0
2020-10-08,2020-10-08,19.0,12.0
2020-10-09,2020-10-09,23.0,14.0
2020-10-10,2020-10-10,,
2020-10-11,2020-10-11,,
2020-10-12,2020-10-12,26.0,18.0
2020-10-13,2020-10-13,30.0,21.0
2020-10-14,2020-10-14,35.0,22.0
2020-10-15,2020-10-15,41.0,23.0
2020-10-16,2020-10-16,45.0,27.0
2020-10-17,2020-10-17,,
2020-10-18,2020-10-18,,
2020-10-19,2020-10-19,53.0,30.0
2020-10-20,2020-10-20,57.0,31.0
2020-10-21,2020-10-21,62.0,33.0
2020-10-22,2020-10-22,72.0,34.0
2020-10-23,2020-10-23,75.0,
2020-10-24,2020-10-24,,
2020-10-25,2020-10-25,,
2020-10-26,2020-10-26,80.0,39.0
2020-10-27,2020-10-27,83.0,40.0
2020-10-28,2020-10-28,86.0,42.0
2020-10-29,2020-10-29,93.0,47.0
2020-10-30,2020-10-30,104.0,52.0
2020-10-31,2020-10-31,,
2020-11-01,2020-11-01,,
2020-11-02,2020-11-02,108.0,
2020-11-03,2020-11-03,111.0,55.0
2020-11-04,2020-11-04,112.0,57.0
2020-11-05,2020-11-05,118.0,
2020-11-06,2020-11-06,120.0,58.0
2020-11-07,2020-11-07,,
2020-11-08,2020-11-08,,
2020-11-09,2020-11-09,128.0,60.0
2020-11-10,2020-11-10,131.0,
2020-11-11,2020-11-11,132.0,61.0
2020-11-12,2020-11-12,144.0,66.0
2020-11-13,2020-11-13,153.0,69.0
2020-11-14,2020-11-14,158.0,
